id,title,link,category,elo_score
4,Nudity,https://en.wikipedia.org/wiki/Nudity,Culture,1184
7,The arts,https://en.wikipedia.org/wiki/The_arts,Culture,1184
6,Civilization,https://en.wikipedia.org/wiki/Civilization,Culture,1184
8,Human behavior,https://en.wikipedia.org/wiki/Human_behavior,Culture,1184
1,Religion,https://en.wikipedia.org/wiki/Religion,Culture,1184
11,Cultural diversity,https://en.wikipedia.org/wiki/Cultural_diversity,Culture,1216
10,High-context and low-context cultures,https://en.wikipedia.org/wiki/High-context_and_low-context_cultures,Culture,1216
12,Cultural identity,https://en.wikipedia.org/wiki/Cultural_identity,Culture,1216
13,Empowerment,https://en.wikipedia.org/wiki/Empowerment,Culture,1231
14,Literary fiction,https://en.wikipedia.org/wiki/Literary_fiction,Culture,1169
15,Intercultural communication,https://en.wikipedia.org/wiki/Intercultural_communication,Culture,1231
16,High culture,https://en.wikipedia.org/wiki/High_culture,Culture,1201
17,Cultural imperialism,https://en.wikipedia.org/wiki/Cultural_imperialism,Culture,1169
18,Outline of culture,https://en.wikipedia.org/wiki/Outline_of_culture,Culture,1216
19,Cultural universal,https://en.wikipedia.org/wiki/Cultural_universal,Culture,1231
20,Low culture,https://en.wikipedia.org/wiki/Low_culture,Culture,1169
21,Cultural practice,https://en.wikipedia.org/wiki/Cultural_practice,Culture,1199
24,Word wall,https://en.wikipedia.org/wiki/Word_wall,Culture,1184
23,Cultural lag,https://en.wikipedia.org/wiki/Cultural_lag,Culture,1169
25,Culture change,https://en.wikipedia.org/wiki/Culture_change,Culture,1169
26,Cultural ecology,https://en.wikipedia.org/wiki/Cultural_ecology,Culture,1184
27,Highbrow,https://en.wikipedia.org/wiki/Highbrow,Culture,1169
28,Culture hero,https://en.wikipedia.org/wiki/Culture_hero,Culture,1169
29,Classic,https://en.wikipedia.org/wiki/Classic,Culture,1184
30,Cultural nationalism,https://en.wikipedia.org/wiki/Cultural_nationalism,Culture,1216
31,Hypermobility (travel),https://en.wikipedia.org/wiki/Hypermobility_(travel),Culture,1169
32,Middlebrow,https://en.wikipedia.org/wiki/Middlebrow,Culture,1184
9,Cultural assimilation,https://en.wikipedia.org/wiki/Cultural_assimilation,Culture,1184
33,Cultural movement,https://en.wikipedia.org/wiki/Cultural_movement,Culture,1216
35,Homo faber,https://en.wikipedia.org/wiki/Homo_faber,Culture,1184
34,Interculturalism,https://en.wikipedia.org/wiki/Interculturalism,Culture,1216
36,Cultural intelligence,https://en.wikipedia.org/wiki/Cultural_intelligence,Culture,1216
37,Aversion to happiness,https://en.wikipedia.org/wiki/Aversion_to_happiness,Culture,1184
38,Cultural memory,https://en.wikipedia.org/wiki/Cultural_memory,Culture,1184
39,Cultural policy,https://en.wikipedia.org/wiki/Cultural_policy,Culture,1184
40,Sophistication,https://en.wikipedia.org/wiki/Sophistication,Culture,1216
41,Individualistic culture,https://en.wikipedia.org/wiki/Individualistic_culture,Culture,1184
42,Prehistory of nakedness and clothing,https://en.wikipedia.org/wiki/Prehistory_of_nakedness_and_clothing,Culture,1184
43,Culture of life,https://en.wikipedia.org/wiki/Culture_of_life,Culture,1184
44,Design theory,https://en.wikipedia.org/wiki/Design_theory,Culture,1184
45,The arts and politics,https://en.wikipedia.org/wiki/The_arts_and_politics,Culture,1184
46,Semiotics of culture,https://en.wikipedia.org/wiki/Semiotics_of_culture,Culture,1184
47,Artificiality,https://en.wikipedia.org/wiki/Artificiality,Culture,1184
48,Cultural expressions,https://en.wikipedia.org/wiki/Cultural_expressions,Culture,1184
49,Philosophy of culture,https://en.wikipedia.org/wiki/Philosophy_of_culture,Culture,1184
50,Trademark look,https://en.wikipedia.org/wiki/Trademark_look,Culture,1184
51,Critical consumerism,https://en.wikipedia.org/wiki/Critical_consumerism,Culture,1184
52,Cultural radicalism,https://en.wikipedia.org/wiki/Cultural_radicalism,Culture,1184
55,Ethnoscience,https://en.wikipedia.org/wiki/Ethnoscience,Culture,1184
54,Legal culture,https://en.wikipedia.org/wiki/Legal_culture,Culture,1184
56,Cultural deprivation,https://en.wikipedia.org/wiki/Cultural_deprivation,Culture,1184
57,Cultural amalgamation,https://en.wikipedia.org/wiki/Cultural_amalgamation,Culture,1216
58,Superficiality,https://en.wikipedia.org/wiki/Superficiality,Culture,1184
59,Primitive Culture (book),https://en.wikipedia.org/wiki/Primitive_Culture_(book),Culture,1184
60,Genre-busting,https://en.wikipedia.org/wiki/Genre-busting,Culture,1184
61,Welfare culture,https://en.wikipedia.org/wiki/Welfare_culture,Culture,1184
62,Languaculture,https://en.wikipedia.org/wiki/Languaculture,Culture,1184
63,Cultural mediation,https://en.wikipedia.org/wiki/Cultural_mediation,Culture,1200
64,Design culture,https://en.wikipedia.org/wiki/Design_culture,Culture,1184
65,Cultural framework,https://en.wikipedia.org/wiki/Cultural_framework,Culture,1216
66,Depression and culture,https://en.wikipedia.org/wiki/Depression_and_culture,Culture,1184
67,Cultural consensus theory,https://en.wikipedia.org/wiki/Cultural_consensus_theory,Culture,1184
68,Pet culture,https://en.wikipedia.org/wiki/Pet_culture,Culture,1184
69,Cultural retention,https://en.wikipedia.org/wiki/Cultural_retention,Culture,1184
70,Cultural manager,https://en.wikipedia.org/wiki/Cultural_manager,Culture,1200
71,Official culture,https://en.wikipedia.org/wiki/Official_culture,Culture,1184
72,Cultural emphasis,https://en.wikipedia.org/wiki/Cultural_emphasis,Culture,1216
3,Culture,https://en.wikipedia.org/wiki/Culture,Culture,1216
2,Sport,https://en.wikipedia.org/wiki/Sport,Culture,1184
73,Culture and social cognition,https://en.wikipedia.org/wiki/Culture_and_social_cognition,Culture,1184
75,Theology of culture,https://en.wikipedia.org/wiki/Theology_of_culture,Culture,1184
77,Coloured hat,https://en.wikipedia.org/wiki/Coloured_hat,Culture,1184
79,Resistance through culture,https://en.wikipedia.org/wiki/Resistance_through_culture,Culture,1184
81,Assessment culture,https://en.wikipedia.org/wiki/Assessment_culture,Culture,1184
83,Criminal tradition,https://en.wikipedia.org/wiki/Criminal_tradition,Culture,1184
85,Cultural narcissism,https://en.wikipedia.org/wiki/Cultural_narcissism,Culture,1184
87,Also a Poet,https://en.wikipedia.org/wiki/Also_a_Poet,Culture,1184
89,Successor culture,https://en.wikipedia.org/wiki/Successor_culture,Culture,1184
91,Map,https://en.wikipedia.org/wiki/Map,Geography,1184
93,Region,https://en.wikipedia.org/wiki/Region,Geography,1184
95,Hemispheres of Earth,https://en.wikipedia.org/wiki/Hemispheres_of_Earth,Geography,1184
97,Portal:Geography,https://en.wikipedia.org/wiki/Portal:Geography,Geography,1184
99,Governmentality,https://en.wikipedia.org/wiki/Governmentality,Geography,1184
101,Hermit kingdom,https://en.wikipedia.org/wiki/Hermit_kingdom,Geography,1184
103,Mainland,https://en.wikipedia.org/wiki/Mainland,Geography,1184
105,Distance decay,https://en.wikipedia.org/wiki/Distance_decay,Geography,1184
107,Outline of geography,https://en.wikipedia.org/wiki/Outline_of_geography,Geography,1184
109,Landlocked developing countries,https://en.wikipedia.org/wiki/Landlocked_developing_countries,Geography,1184
111,Spatial mismatch,https://en.wikipedia.org/wiki/Spatial_mismatch,Geography,1184
113,Hjulström curve,https://en.wikipedia.org/wiki/Hjulström_curve,Geography,1200
115,Spatial citizenship,https://en.wikipedia.org/wiki/Spatial_citizenship,Geography,1184
117,Geographic contiguity,https://en.wikipedia.org/wiki/Geographic_contiguity,Geography,1184
119,Surroundings,https://en.wikipedia.org/wiki/Surroundings,Geography,1184
121,Spatial justice,https://en.wikipedia.org/wiki/Spatial_justice,Geography,1184
123,Geocriticism,https://en.wikipedia.org/wiki/Geocriticism,Geography,1184
125,Mountain research,https://en.wikipedia.org/wiki/Mountain_research,Geography,1184
127,International date line in Judaism,https://en.wikipedia.org/wiki/International_date_line_in_Judaism,Geography,1184
129,Mediterranean outflow,https://en.wikipedia.org/wiki/Mediterranean_outflow,Geography,1184
131,Geo-literacy,https://en.wikipedia.org/wiki/Geo-literacy,Geography,1184
133,Land systems,https://en.wikipedia.org/wiki/Land_systems,Geography,1184
